,title,price,link
0,RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,"₹44,990",/redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_9BoYwI3lUmgLggN0m6U6bWMRCQuZ8y5MymnGCYNTfoM15hkKPWBnIfMaaKliWa27iMx6rN2Pi5O%2BID55kB3zBw%3D%3D&ppt=None&ppn=None&ssid=gji0kg4tw00000001669551613788&qH=312f91285e048e09
1,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,"₹37,228",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itme5d4463121c64?pid=COMG9VKERHP4FACH&lid=LSTCOMG9VKERHP4FACHOL4YVH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_9BoYwI3lUmgLggN0m6U6bWMRCQuZ8y5MymnGCYNTfoMXy%2FpSrnbP9wLrMKOjee26RGb8TM7MJdoyqjQLfP9KkA%3D%3D&ppt=None&ppn=None&ssid=gji0kg4tw00000001669551613788&qH=312f91285e048e09
2,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,"₹33,990",/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-x515ja-ej392ws-thin-light-laptop/p/itmae4a34193296d?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWTMCIPI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=d07357ed-041a-496a-b127-6100e5abfb1a.COMG87FFPEDAAGXW.SEARCH&ppt=None&ppn=None&ssid=gji0kg4tw00000001669551613788&qH=312f91285e048e09
3,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,"₹54,990",/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lhb-hn358w-laptop/p/itm4d930ab779cbd?pid=COMGF9Z7JYCFBKAP&lid=LSTCOMGF9Z7JYCFBKAPXYET0O&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=d07357ed-041a-496a-b127-6100e5abfb1a.COMGF9Z7JYCFBKAP.SEARCH&ppt=None&ppn=None&ssid=gji0kg4tw00000001669551613788&qH=312f91285e048e09
4,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,"₹38,799",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-82h801l7in-82h802fjin-82h802l3in-82h801lhin-thin-light-laptop/p/itm0e009f57a591b?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=d07357ed-041a-496a-b127-6100e5abfb1a.COMG9VHHG6Q3RRJX.SEARCH&ppt=None&ppn=None&ssid=gji0kg4tw00000001669551613788&qH=312f91285e048e09
5,RedmiBook Pro Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) Thin and Light Laptop,"₹29,990",/redmibook-pro-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-thin-light-laptop/p/itm302328cdf5e24?pid=COMG4Z35GKZTRDSF&lid=LSTCOMG4Z35GKZTRDSFFNBHAW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=d07357ed-041a-496a-b127-6100e5abfb1a.COMG4Z35GKZTRDSF.SEARCH&ppt=None&ppn=None&ssid=gji0kg4tw00000001669551613788&qH=312f91285e048e09
6,APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"₹88,990",/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itmde54f026889ce?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=d07357ed-041a-496a-b127-6100e5abfb1a.COMFXEKMGNHZYFH9.SEARCH&ppt=None&ppn=None&ssid=gji0kg4tw00000001669551613788&qH=312f91285e048e09
7,DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook,"₹30,929",/dell-inspiron-athlon-dual-core-3050u-8-gb-256-gb-ssd-windows-11-home-3525-notebook/p/itm96a6101fa53ff?pid=COMGCYF9EZKKPEWD&lid=LSTCOMGCYF9EZKKPEWDXSSFWJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=d07357ed-041a-496a-b127-6100e5abfb1a.COMGCYF9EZKKPEWD.SEARCH&ppt=None&ppn=None&ssid=gji0kg4tw00000001669551613788&qH=312f91285e048e09
8,HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,"₹41,999",/hp-14s-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-dy2508tu-thin-light-laptop/p/itm49f4531237a12?pid=COMGGTT4VFWG3FFM&lid=LSTCOMGGTT4VFWG3FFMB7VNLU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=d07357ed-041a-496a-b127-6100e5abfb1a.COMGGTT4VFWG3FFM.SEARCH&ppt=None&ppn=None&ssid=gji0kg4tw00000001669551613788&qH=312f91285e048e09
9,ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVID...,"₹87,990",/asus-rog-strix-g15-ryzen-7-octa-core-amd-r7-4800h-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050-ti-144-hz-g513ie-hn040ws-gaming-laptop/p/itm13c7975bead0a?pid=COMGE73KYN76YZC7&lid=LSTCOMGE73KYN76YZC71JHKIS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=d07357ed-041a-496a-b127-6100e5abfb1a.COMGE73KYN76YZC7.SEARCH&ppt=None&ppn=None&ssid=gji0kg4tw00000001669551613788&qH=312f91285e048e09
