,title,price,link
0,"APPLE iPhone 13 (Midnight, 128 GB)","₹65,999",/apple-iphone-13-midnight-128-gb/p/itmca361aab1c5b0?pid=MOBG6VF5Q82T3XRS&lid=LSTMOBG6VF5Q82T3XRSOXJLM9&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBG6VF5Q82T3XRS.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
1,"APPLE iPhone 13 (Blue, 128 GB)","₹65,999",/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c?pid=MOBG6VF5SMXPNQHG&lid=LSTMOBG6VF5SMXPNQHGL5FN51&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBG6VF5SMXPNQHG.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
2,"APPLE iPhone 13 (Green, 128 GB)","₹65,999",/apple-iphone-13-green-128-gb/p/itm18a55937b2607?pid=MOBGC9VGSU9DWGJZ&lid=LSTMOBGC9VGSU9DWGJZ0Q1T8E&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGC9VGSU9DWGJZ.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
3,"POCO C31 (Royal Blue, 64 GB)","₹7,749",/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBG73E7GKQK4KZP.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
4,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹14,999",/samsung-galaxy-f23-5g-aqua-blue-128-gb/p/itme54bc0c2292f4?pid=MOBGBKQF45XPEUHA&lid=LSTMOBGBKQF45XPEUHAYAHBJE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGBKQF45XPEUHA.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
5,"POCO C31 (Shadow Gray, 64 GB)","₹7,749",/poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHSM0ZN5&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBG73E7UBFXXMCH.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
6,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹14,999",/samsung-galaxy-f23-5g-copper-blush-128-gb/p/itm59c8bf3255ef6?pid=MOBGE2ZU2YBUAEVZ&lid=LSTMOBGE2ZU2YBUAEVZJXNB2M&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGE2ZU2YBUAEVZ.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
7,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹14,999",/samsung-galaxy-f23-5g-forest-green-128-gb/p/itm4001e68fda319?pid=MOBGBKQF3QM4GHWN&lid=LSTMOBGBKQF3QM4GHWNJ56YXY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGBKQF3QM4GHWN.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
8,"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹14,999",/poco-m4-pro-5g-cool-blue-128-gb/p/itm509e4403d0303?pid=MOBGBEU7GKRSHG5M&lid=LSTMOBGBEU7GKRSHG5MWVOWEV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGBEU7GKRSHG5M.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
9,"REDMI 10 (Midnight Black, 64 GB)","₹9,999",/redmi-10-midnight-black-64-gb/p/itmd93641e4ebb47?pid=MOBGC9GYEBH3GZ4E&lid=LSTMOBGC9GYEBH3GZ4ESWAKTT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGC9GYEBH3GZ4E.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
10,"APPLE iPhone 13 (Starlight, 128 GB)","₹65,999",/apple-iphone-13-starlight-128-gb/p/itmc9604f122ae7f?pid=MOBG6VF5ADKHKXFX&lid=LSTMOBG6VF5ADKHKXFXQGX7PK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBG6VF5ADKHKXFX.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
